S.N.,T,H
1,300.0,-48.987649067907114
2,310.0,220.33750615274607
3,320.0,493.0151737246663
4,330.0,769.1374378103803
5,340.0,1048.8139602028875
6,350.0,1332.1724407675656
7,360.0,1619.3594500404788
8,370.0,1910.541585164036
9,380.0,2205.9068774518737
10,390.0,2505.6663324655597
11,400.0,2810.0553998083997
12,410.0,3119.335034051351
13,420.0,3433.7918034967606
14,430.0,3753.7362209190933
15,440.0,4079.498131090994
16,450.0,4411.417686555955
17,460.0,4749.830398521604
18,470.0,5095.045352794113
19,480.0,5447.318976272902
20,490.0,5806.850810634545
21,500.0,6173.830949282783
22,510.0,6548.513368434067
23,520.0,6931.290869219994
24,530.0,7322.761496505578
25,540.0,7723.790146365818
26,550.0,8135.5791320123535
27,560.0,8559.764060294583
28,570.0,8998.545089248028
29,580.0,9454.835235460125
30,590.0,9932.307644449204
31,600.0,10434.949301674322
32,610.0,10965.341656164717
33,620.0,11521.63513210896
34,630.0,12096.594850088492
35,640.0,12461.522164585913
36,650.0,12783.390029418673
37,660.0,13103.479147085052
38,670.0,13422.092643665885
39,680.0,13739.486597995117
40,690.0,14055.879633233088
41,700.0,14371.460123029126
42,710.0,14686.391689669825
43,720.0,15000.817461158367
44,730.0,15314.863413497638
45,740.0,15628.641029218848
46,750.0,15942.249437928636
47,760.0,16255.777159354358
48,770.0,16569.303537556047
49,780.0,16882.89993236131
50,790.0,17196.63071781901
51,800.0,17510.554125639464
52,810.0,17824.722962890337
53,820.0,18139.18522674945
54,830.0,18453.984634257624
55,840.0,18769.16108132615
56,850.0,19084.7510424285
57,860.0,19400.78792021854
58,870.0,19717.30235261121
59,880.0,20034.32248351717
60,890.0,20351.874202354862
61,900.0,20669.98135660971
62,910.0,20988.66594101946
63,920.0,21307.94826640606
64,930.0,21627.847110713952
65,940.0,21948.379854438972
66,950.0,22269.56260231837
67,960.0,22591.410292891134
68,970.0,22913.936797319293
69,980.0,23237.15500867773
70,990.0,23561.07692276136
71,1000.0,23885.713711328703
72,1010.0,24211.075788584603
73,1020.0,24537.172871609244
74,1030.0,24864.01403535597
75,1040.0,25191.607762767922
76,1050.0,25519.961990500546
77,1060.0,25849.084150682378
78,1070.0,26178.981209098383
79,1080.0,26509.659700138778
80,1090.0,26841.12575881935
81,1100.0,27173.38515014622
82,1110.0,27506.443296070975
83,1120.0,27840.30530025588
84,1130.0,28174.97597084654
85,1140.0,28510.459841429678
86,1150.0,28846.761190338028
87,1160.0,29183.884058444062
88,1170.0,29521.83226557592
89,1180.0,29860.60942567212
90,1190.0,30200.21896078283
91,1200.0,30540.664114014297
92,1210.0,30881.947961504673
93,1220.0,31224.073423511072
94,1230.0,31567.04327468104
95,1240.0,31910.860153573813
96,1250.0,32255.526571492523
97,1260.0,32601.044920681637
98,1270.0,32947.417481940116
99,1280.0,33294.64643169659
100,1290.0,33642.73384858725
101,1300.0,33991.681719576125
102,1310.0,34341.49194565179
103,1320.0,34692.16634713342
104,1330.0,35043.70666861524
105,1340.0,35396.11458357641
106,1350.0,35749.391698681386
107,1360.0,36103.5395577937
108,1370.0,36458.55964572368
109,1380.0,36814.45339172991
110,1390.0,37171.22217279185
111,1400.0,37528.86731667037
112,1410.0,37887.39010477081
113,1420.0,38246.79177482322
114,1430.0,38607.07352339148
115,1440.0,38968.23650822459
116,1450.0,39330.28185046038
117,1460.0,39693.21063669097
118,1470.0,40057.02392090125
119,1480.0,40421.72272628757
120,1490.0,40787.308046964754
121,1500.0,41153.780849570176
122,1510.0,41521.14207477013
123,1520.0,41889.392638675854
124,1530.0,42258.53343417532
125,1540.0,42628.565332185615
126,1550.0,42999.48918283149
127,1560.0,43371.30581655494
128,1570.0,43744.016045159886
129,1580.0,44117.620662796304
130,1590.0,44492.120446887704
131,1600.0,44867.51615900511
132,1610.0,45243.808545692045
133,1620.0,45620.99833924129
134,1630.0,45999.08625842948
135,1640.0,46378.073009209314
136,1650.0,46757.959285363664
137,1660.0,47138.745769123234
138,1670.0,47520.433131750535
139,1680.0,47903.022034091075
140,1690.0,48286.5131270947
141,1700.0,48670.90705230936
142,1710.0,49056.204442347334
143,1720.0,49442.405921326295
144,1730.0,64215.949652940966
145,1740.0,64652.691517397085
146,1750.0,65091.02419376654
147,1760.0,65530.975551360825
148,1770.0,65972.57409629258
149,1780.0,66415.84898238901
150,1790.0,66860.83002223134
151,1800.0,67307.54769832162
152,1810.0,67756.03317437819
153,1820.0,68205.58756000013
154,1830.0,68655.14756000008
155,1840.0,69104.70756
