T,h
300.0,-861.3927884284574
310.0,3874.387573839026
320.0,8669.118100432534
330.0,13524.41798792586
340.0,18442.21551578237
350.0,23424.756142708735
360.0,28474.6171469611
370.0,33594.72795217531
380.0,38788.394877814455
390.0,44059.32821968804
400.0,49411.66809462518
410.0,54850.003095665284
420.0,60379.37220454622
430.0,66005.23543965482
440.0,71733.39275085324
450.0,77569.82533857676
460.0,83520.43279058245
470.0,89590.65003362237
480.0,95784.98604671724
490.0,102106.94954613458
500.0,108559.8831108759
510.0,115148.2526274544
520.0,121878.965062595
530.0,128762.53636355542
540.0,135814.17475640736
550.0,143055.02156860058
560.0,150513.8371095515
570.0,158229.30868720936
580.0,166252.6584265125
590.0,174648.4744659109
600.0,183486.86346672327
610.0,192813.21731077667
620.0,202595.01328477653
630.0,212705.0341599952
640.0,219121.8711176719
650.0,224781.55601517478
660.0,230409.96364155502
670.0,236012.42412848832
680.0,241593.44033465488
690.0,247156.85650278296
700.0,252705.98497192434
710.0,258243.70285621638
720.0,263772.52690084116
730.0,269294.6722523195
740.0,274812.0992057512
750.0,280326.5508439318
760.0,285839.5836868459
770.0,291352.59291067405
780.0,296866.833297837
790.0,302383.4367936823
800.0,307903.427337433
810.0,313427.73348206375
820.0,318957.1992040386
830.0,324492.59321841964
840.0,330034.61704999785
850.0,335583.91206142295
860.0,341141.06560084707
870.0,346706.61640159343
880.0,352281.0593427213
890.0,357864.8496605761
900.0,363458.4066864048
910.0,369062.11717296735
920.0,374676.3382632556
930.0,380301.4001463322
940.0,385937.60843869543
950.0,391585.24632406194
960.0,397244.5764798614
970.0,402915.842814899
980.0,408599.27203941555
990.0,414295.0750859915
1000.0,420003.44839745306
1010.0,425724.57509589556
1020.0,431458.6260452603
1030.0,437205.7608184094
1040.0,442966.1285783703
1050.0,448739.8688823151
1060.0,454527.11241587653
1070.0,460327.9816645599
1080.0,466142.59152827767
1090.0,471971.04988439224
1100.0,477813.4581040611
1110.0,483669.9115262132
1120.0,489540.49989301764
1130.0,495425.30775031424
1140.0,501324.4148161339
1150.0,507237.8963201523
1160.0,513165.8233165736
1170.0,519108.26297278516
1180.0,525065.2788358369
1190.0,531036.9310786377
1200.0,537023.2767275684
1210.0,543024.3698730634
1220.0,549040.2618645639
1230.0,555071.0014911311
1240.0,561116.6351488654
1250.0,567177.2069962118
1260.0,573252.7590981026
1270.0,579343.3315598257
1280.0,585448.9626514339
1290.0,591569.6889234106
1300.0,597705.5453142859
1310.0,603856.5652508092
1320.0,610022.7807412486
1330.0,616204.2224623343
1340.0,622400.9198403176
1350.0,628612.9011265882
1360.0,634840.1934682528
1370.0,641082.822974033
1380.0,647340.8147758357
1390.0,653614.1930862984
1400.0,659902.9812526045
1410.0,666207.201806828
1420.0,672526.8765130615
1430.0,678862.0264115367
1440.0,685212.6718599696
1450.0,691578.8325723099
1460.0,697960.5276550596
1470.0,704357.7756413588
1480.0,710770.5945229664
1490.0,717199.0017802754
1500.0,723643.0144105178
1510.0,730102.648954254
1520.0,736577.9215202713
1530.0,743068.8478090019
1540.0,749575.4431345444
1550.0,756097.7224453879
1560.0,762635.700343922
1570.0,769189.3911048071
1580.0,775758.8086922785
1590.0,782343.966776455
1600.0,788944.8787487086
1610.0,795561.5577361681
1620.0,802194.0166153797
1630.0,808842.2680252232
1640.0,815506.3243790837
1650.0,822186.1978763542
1660.0,828881.9005132951
1670.0,835593.4440933039
1680.0,842320.8402366067
1690.0,849064.100389425
1700.0,855823.2358326593
1710.0,862598.2576900858
1720.0,869389.1769361133
1730.0,1129165.3505651979
1740.0,1136844.9657254561
1750.0,1144552.5535264912
1760.0,1152288.604018845
1770.0,1160053.6184504908
1780.0,1167848.1094587368
1790.0,1175672.6012643396
1800.0,1183527.629867861
1810.0,1191413.7432482871
1820.0,1199318.6522028754
1830.0,1207223.6598799953
1840.0,1215128.6675571143
